,n_clusters,percent_clustered,sil_score,pielou_evenness,runtime,prediction_data,min_cluster_size,min_samples,random_seed
87,2,100.0,0.1594866,0.6013914492382794,16.713183403015137,True,450,400,1
88,2,100.0,0.3680829,0.6216675997061123,17.13437032699585,True,450,450,1
89,2,100.0,0.28259197,0.5231652753536341,17.160834312438965,True,450,500,1
90,2,100.0,0.28389266,0.4295485537031932,14.361867427825928,True,500,50,1
91,2,100.0,0.15932412,0.8307772817628077,13.909621477127075,True,500,100,1
92,2,100.0,0.34161836,0.56557475501754,15.341083765029907,True,500,150,1
93,2,100.0,0.15497893,0.7591715626333984,15.062115669250488,True,500,200,1
94,3,100.0,0.17713359,0.600435748148585,15.160544872283936,True,500,250,1
95,2,100.0,0.31388333,0.5683745323145877,15.942080736160278,True,500,300,1
96,2,100.0,0.43534127,0.4591889522576468,15.958028316497803,True,500,350,1
97,2,100.0,0.35641634,0.6154914013119442,16.130921125411987,True,500,400,1
98,2,100.0,0.27416974,0.5390261345168925,16.77646541595459,True,500,450,1
99,2,100.0,0.4472837,0.5373115381867349,17.526237726211548,True,500,500,1
