,n_clusters,percent_clustered,sil_score,pielou_evenness,runtime,prediction_data,min_cluster_size,min_samples,random_seed
0,9,100.0,-0.016248912,0.5020898160444104,13.744606733322144,True,50,50,1
1,7,100.0,0.27553353,0.705750421178442,13.925172567367554,True,50,100,1
2,5,100.0,0.24854892,0.5401446173751968,14.209701776504517,True,50,150,1
3,3,100.0,0.2861255,0.44295062905017857,14.383734941482544,True,50,200,1
4,4,100.0,0.2745842,0.5589739262044038,14.93664288520813,True,50,250,1
5,2,100.0,0.38735676,0.477570642954541,15.038479804992676,True,50,300,1
6,2,100.0,0.3826421,0.4813443378241341,15.447508096694946,True,50,350,1
7,2,100.0,0.39951134,0.4818815784821507,15.7474684715271,True,50,400,1
8,2,100.0,0.42551804,0.44710205691115296,16.180163145065308,True,50,450,1
9,2,100.0,0.41139913,0.4882925757947041,16.49960160255432,True,50,500,1
10,3,100.0,0.13793048,0.6041696390111102,14.26582646369934,True,100,50,1
11,6,100.0,0.2660646,0.7225605535632744,14.580424308776855,True,100,100,1
12,3,100.0,0.20325795,0.4934625419425248,14.957250595092773,True,100,150,1
13,3,100.0,0.25115648,0.4517962381208957,16.672322988510132,True,100,200,1
14,4,100.0,0.23122023,0.576453179536291,14.854411840438843,True,100,250,1
15,2,100.0,0.35490942,0.4639042025081132,15.321366310119629,True,100,300,1
16,2,100.0,0.4304544,0.4356467198318365,16.0057373046875,True,100,350,1
17,2,100.0,0.40476948,0.48776084209634796,16.25399112701416,True,100,400,1
18,2,100.0,0.3044496,0.5378019226757342,16.41720485687256,True,100,450,1
19,2,100.0,0.41024408,0.5176158057106718,16.6767098903656,True,100,500,1
20,4,100.0,0.0011715847,0.48863441581026995,14.26621150970459,True,150,50,1
21,6,100.0,0.19111773,0.6954690250827503,14.293969631195068,True,150,100,1
22,3,100.0,0.13680556,0.5862849377063963,14.519834518432617,True,150,150,1
23,3,100.0,0.12153295,0.5285418920875107,15.268715620040894,True,150,200,1
24,3,100.0,0.27501574,0.6239937924125465,15.680220365524292,True,150,250,1
25,2,100.0,0.3411402,0.5183755344693075,15.549599647521973,True,150,300,1
26,2,100.0,0.35426074,0.4356467198318365,15.837984085083008,True,150,350,1
27,2,100.0,0.36549217,0.5326328373414626,16.301149606704712,True,150,400,1
28,2,100.0,0.38303673,0.518122396662749,16.528445720672607,True,150,450,1
29,2,100.0,0.36855763,0.5667429609452673,16.93953800201416,True,150,500,1
30,4,100.0,0.035493035,0.5346932728557039,14.514933109283447,True,200,50,1
31,3,100.0,0.16792104,0.45736294754341955,14.903737306594849,True,200,100,1
32,3,100.0,0.102488205,0.6035421880368181,14.454679250717163,True,200,150,1
33,3,100.0,0.17154749,0.5872435528266089,14.748035669326782,True,200,200,1
34,3,100.0,0.24665606,0.568847473107269,15.002169132232666,True,200,250,1
35,2,100.0,0.3055721,0.5436554659326217,15.572694063186646,True,200,300,1
36,2,100.0,0.3132913,0.4909444380873352,15.940845012664795,True,200,350,1
37,2,100.0,0.31952217,0.5266705656239125,16.75664210319519,True,200,400,1
38,2,100.0,0.28620037,0.5789837867330703,16.567338943481445,True,200,450,1
39,2,100.0,0.33455238,0.49384845603787425,16.503798961639404,True,200,500,1
