,n_clusters,percent_clustered,sil_score,pielou_evenness,runtime,n_components,random_state,prediction_data,min_cluster_size,min_samples
66,2,100.0,0.34862247,0.9351703151767016,3.2159557342529297,2,1,True,70,70
67,2,100.0,0.34846914,0.9351703151767016,3.147327423095703,2,1,True,70,80
68,2,100.0,0.37681127,0.8539827588675062,3.1549856662750244,2,1,True,70,90
69,2,100.0,0.24242596,0.9351703151767016,2.992540121078491,2,1,True,70,100
70,2,100.0,0.20662075,0.718609966948486,2.928097724914551,2,1,True,80,10
71,2,100.0,0.35620332,0.8677584893617495,3.1179587841033936,2,1,True,80,20
72,4,100.0,0.15236673,0.9640008115403873,3.0129082202911377,2,1,True,80,30
73,2,100.0,0.19699182,0.8677584893617495,2.931166887283325,2,1,True,80,40
74,2,100.0,0.2361831,0.9940302114769566,3.170778751373291,2,1,True,80,50
75,2,100.0,0.0952262,0.9521204244105628,2.9818010330200195,2,1,True,80,60
76,2,100.0,0.09590676,0.9521204244105628,2.920651435852051,2,1,True,80,70
77,2,100.0,0.22046813,0.9940302114769566,3.2035794258117676,2,1,True,80,80
78,2,100.0,0.5539135,0.7349557594762548,2.955066204071045,2,1,True,80,90
79,2,100.0,0.3593476,0.8677584893617495,2.939873456954956,2,1,True,80,100
80,2,100.0,0.06805851,0.8717444309241538,3.283900022506714,2,1,True,90,10
81,2,100.0,0.5539135,0.7349557594762548,3.11458683013916,2,1,True,90,20
82,4,100.0,0.42078817,0.9657643249294436,2.9152398109436035,2,1,True,90,30
83,2,100.0,0.38596126,0.880785191705615,2.9409260749816895,2,1,True,90,40
84,2,100.0,0.08849801,0.880785191705615,3.1842472553253174,2,1,True,90,50
85,2,100.0,0.16409768,0.7349557594762548,3.0584304332733154,2,1,True,90,60
86,2,100.0,0.5255729,0.880785191705615,3.184577465057373,2,1,True,90,70
87,2,100.0,0.22130731,0.9942988366509596,3.220245599746704,2,1,True,90,80
88,2,100.0,0.34375533,0.5107878229540133,3.10678768157959,2,1,True,90,90
89,2,100.0,0.14287166,0.7349557594762548,3.209202527999878,2,1,True,90,100
90,2,100.0,0.20662075,0.718609966948486,3.6229093074798584,2,1,True,100,10
91,2,100.0,0.3746468,0.8930780363227029,3.1538100242614746,2,1,True,100,20
92,4,100.0,0.2798498,0.984851124234729,3.1159861087799072,2,1,True,100,30
93,2,100.0,0.18826082,0.9992115522579863,3.4150407314300537,2,1,True,100,40
94,2,100.0,0.37768826,0.9781619565012997,3.3548426628112793,2,1,True,100,50
95,2,100.0,0.004791031,0.9992115522579863,3.540457010269165,2,1,True,100,60
96,2,100.0,0.5539135,0.7349557594762548,3.5466866493225098,2,1,True,100,70
97,2,100.0,0.07312652,0.9448229321484668,3.200547933578491,2,1,True,100,80
98,2,100.0,0.073015004,0.941406743060157,3.178741931915283,2,1,True,100,90
99,2,100.0,0.5539135,0.7349557594762548,3.1488873958587646,2,1,True,100,100
100,4,100.0,0.49359107,0.9797573254822042,3.412189245223999,3,1,True,10,10
101,4,100.0,0.5508332,0.9661286689161398,3.192115306854248,3,1,True,10,20
102,4,100.0,0.63164675,0.9618781800765935,3.190495252609253,3,1,True,10,30
103,4,100.0,0.57674545,0.9653899674674766,3.335986852645874,3,1,True,10,40
104,3,100.0,0.6326181,0.8656241500607307,3.118058919906616,3,1,True,10,50
105,4,100.0,0.6449639,0.966736677011433,3.0305025577545166,3,1,True,10,60
106,4,100.0,0.6480596,0.9649200437000405,3.0675179958343506,3,1,True,10,70
107,3,100.0,0.5300472,0.8855167039279178,3.377882242202759,3,1,True,10,80
108,3,100.0,0.6326181,0.8656241500607307,3.0800890922546387,3,1,True,10,90
109,3,100.0,0.5616213,0.8657211136080668,3.1164662837982178,3,1,True,10,100
110,4,100.0,0.32123566,0.9724799864678554,3.0725104808807373,3,1,True,20,10
111,4,100.0,0.60689455,0.9684916384422204,3.393610954284668,3,1,True,20,20
112,4,100.0,0.60171473,0.9689849764010844,3.2257041931152344,3,1,True,20,30
113,4,100.0,0.5923602,0.9806019785729334,3.148744583129883,3,1,True,20,40
114,3,100.0,0.50130993,0.8648478218660599,3.383986473083496,3,1,True,20,50
115,4,100.0,0.69614905,0.966736677011433,3.1814088821411133,3,1,True,20,60
116,4,100.0,0.56221133,0.9547148934580761,3.230703592300415,3,1,True,20,70
117,3,100.0,0.48008204,0.9179874275092627,3.203606128692627,3,1,True,20,80
118,3,100.0,0.48137927,0.9179874275092629,3.4204041957855225,3,1,True,20,90
119,3,100.0,0.52368444,0.8656241500607307,3.250135898590088,3,1,True,20,100
120,4,100.0,0.48315734,0.9522426627597239,3.179253339767456,3,1,True,30,10
121,4,100.0,0.43604976,0.9614600387056934,3.142190456390381,3,1,True,30,20
122,4,100.0,0.6208219,0.9775874079307189,3.3996310234069824,3,1,True,30,30
123,4,100.0,0.4843989,0.9694492781087841,3.3442182540893555,3,1,True,30,40
124,3,100.0,0.5818419,0.89452275259428,3.1583988666534424,3,1,True,30,50
125,4,100.0,0.5669894,0.9617878218997109,3.180375337600708,3,1,True,30,60
126,4,100.0,0.6231807,0.9637454398998715,3.473055124282837,3,1,True,30,70
127,3,100.0,0.4305093,0.89452275259428,3.1546902656555176,3,1,True,30,80
128,3,100.0,0.40007654,0.89452275259428,3.1274425983428955,3,1,True,30,90
129,3,100.0,0.5122939,0.8656241500607307,3.094682216644287,3,1,True,30,100
130,4,100.0,0.51838833,0.9636569056716255,3.301264762878418,3,1,True,40,10
131,4,100.0,0.51086134,0.9759712050520242,3.068544864654541,3,1,True,40,20
132,4,100.0,0.6010544,0.9434881320406099,3.06746244430542,3,1,True,40,30
133,4,100.0,0.50365007,0.9755004598456412,3.3709418773651123,3,1,True,40,40
134,3,100.0,0.5075699,0.8908355253000707,3.147733211517334,3,1,True,40,50
135,4,100.0,0.41354057,0.9628587596449119,3.147794723510742,3,1,True,40,60
136,4,100.0,0.50751823,0.9658253468598087,3.2031078338623047,3,1,True,40,70
137,3,100.0,0.47877395,0.8656241500607305,3.4846251010894775,3,1,True,40,80
138,3,100.0,0.45895526,0.930806709327442,3.211458444595337,3,1,True,40,90
139,3,100.0,0.40867728,0.930806709327442,3.206097364425659,3,1,True,40,100
140,4,100.0,0.5084593,0.956100596848571,3.136652946472168,3,1,True,50,10
141,4,100.0,0.57203853,0.9437368311697597,3.3352184295654297,3,1,True,50,20
142,4,100.0,0.31346327,0.9615708318309291,3.2145473957061768,3,1,True,50,30
143,4,100.0,0.4608829,0.9750043853542859,3.160331964492798,3,1,True,50,40
144,3,100.0,0.2764371,0.8903431387599264,3.165160655975342,3,1,True,50,50
145,4,100.0,0.37661827,0.9824221979027984,3.4124491214752197,3,1,True,50,60
146,3,100.0,0.51927686,0.8023587652777534,3.106436014175415,3,1,True,50,70
147,3,100.0,0.5623062,0.9107431995419003,3.104297399520874,3,1,True,50,80
148,3,100.0,0.41116655,0.891500273301369,3.0757644176483154,3,1,True,50,90
149,3,100.0,0.5188965,0.8023587652777534,3.364039897918701,3,1,True,50,100
150,4,100.0,0.3976725,0.9311733388958697,3.0819501876831055,3,1,True,60,10
151,4,100.0,0.43978447,0.9455166156036607,3.0687055587768555,3,1,True,60,20
152,4,100.0,0.4528548,0.9551598741918769,3.110506772994995,3,1,True,60,30
153,4,100.0,0.30628943,0.9712102323666931,3.3634655475616455,3,1,True,60,40
154,3,100.0,0.2783896,0.9636507546456196,3.1748485565185547,3,1,True,60,50
155,4,100.0,0.41663808,0.972757703996475,3.1936731338500977,3,1,True,60,60
156,3,100.0,0.33137488,0.9500398776903676,3.4879560470581055,3,1,True,60,70
157,3,100.0,0.6326181,0.8656241500607305,3.228740692138672,3,1,True,60,80
158,3,100.0,0.27503216,0.9070963143478297,3.300083875656128,3,1,True,60,90
159,3,100.0,0.6319682,0.8645614720766399,3.212178945541382,3,1,True,60,100
160,4,100.0,0.23708889,0.9349280362729354,3.198962926864624,3,1,True,70,10
161,4,100.0,0.29450768,0.9494441850218164,3.433162212371826,3,1,True,70,20
162,4,100.0,0.5372008,0.9845533075764696,3.1625213623046875,3,1,True,70,30
163,4,100.0,0.3973899,0.966736677011433,3.110208034515381,3,1,True,70,40
164,3,100.0,0.47920567,0.773504336512457,3.0891449451446533,3,1,True,70,50
165,4,100.0,0.2784466,0.9330609153108681,3.387049913406372,3,1,True,70,60
166,3,100.0,0.5538989,0.9246715436303576,3.09472393989563,3,1,True,70,70
167,3,100.0,0.55639863,0.9246715436303576,3.0989110469818115,3,1,True,70,80
168,3,100.0,0.30046946,0.9630919661284879,3.09049654006958,3,1,True,70,90
169,3,100.0,0.6326181,0.8656241500607307,3.4347071647644043,3,1,True,70,100
170,4,100.0,-0.034018446,0.8559581391783638,3.179234504699707,3,1,True,80,10
171,4,100.0,0.52525914,0.9456847983700374,3.1116206645965576,3,1,True,80,20
172,4,100.0,0.37274548,0.9657643249294436,3.1420860290527344,3,1,True,80,30
173,4,100.0,0.09389401,0.9161303001152192,3.275919198989868,3,1,True,80,40
174,3,100.0,0.30206183,0.8656241500607307,3.4874351024627686,3,1,True,80,50
175,4,100.0,0.31843606,0.9627784743365784,3.2390899658203125,3,1,True,80,60
176,3,100.0,0.10336549,0.8847132995767321,3.230351209640503,3,1,True,80,70
177,3,100.0,0.6326181,0.8656241500607305,3.2203824520111084,3,1,True,80,80
178,3,100.0,0.0882692,0.8878201087104007,3.4616622924804688,3,1,True,80,90
179,3,100.0,0.4561265,0.7569774368716908,3.2450008392333984,3,1,True,80,100
180,4,100.0,0.081122614,0.8948847282800302,3.191359281539917,3,1,True,90,10
181,4,100.0,0.5062664,0.9390776405371954,3.1060049533843994,3,1,True,90,20
182,4,100.0,0.34733817,0.9259002798563352,3.548584222793579,3,1,True,90,30
183,2,100.0,0.13966268,0.880785191705615,3.1822893619537354,3,1,True,90,40
184,3,100.0,0.15357153,0.9573772049600641,3.041940689086914,3,1,True,90,50
185,3,100.0,0.4371772,0.7376230125041209,3.0962769985198975,3,1,True,90,60
186,3,100.0,0.21581428,0.9099875007638788,3.3760640621185303,3,1,True,90,70
187,3,100.0,0.55297226,0.9364028457439875,3.0836446285247803,3,1,True,90,80
188,3,100.0,0.14675762,0.8774447689746426,3.1399965286254883,3,1,True,90,90
189,3,100.0,0.55002135,0.9364028457439872,3.1857757568359375,3,1,True,90,100
190,4,100.0,-0.04413126,0.8485617524194492,3.4004197120666504,3,1,True,100,10
191,4,100.0,0.3745177,0.9258853338443591,3.090012550354004,3,1,True,100,20
192,4,100.0,0.48853013,0.9308090537623661,3.038478136062622,3,1,True,100,30
193,2,100.0,0.20914482,0.9992115522579863,3.063426971435547,3,1,True,100,40
194,3,100.0,0.08664131,0.8450043022390116,3.0337483882904053,3,1,True,100,50
195,3,100.0,0.36613506,0.8634156263312833,3.4473750591278076,3,1,True,100,60
196,3,100.0,0.20788775,0.9021126177228375,3.202615737915039,3,1,True,100,70
197,3,100.0,0.36859527,0.8636179020586929,3.2348620891571045,3,1,True,100,80
198,3,100.0,0.13529374,0.8237077474103918,3.2858004570007324,3,1,True,100,90
199,3,100.0,0.6326181,0.8656241500607307,3.226912260055542,3,1,True,100,100
