match_id,start_time,win,hero_id,account_id,leaguename,kills,deaths,assists,gold,last_hits,denies,gold_per_min,xp_per_min,gold_spent,hero_damage,tower_damage,hero_healing,level,stuns,obs_placed,sen_placed,creeps_stacked,camps_stacked,rune_pickups,lane,lane_role,is_roaming,firstblood_claimed,teamfight_participation,towers_killed,roshans_killed
4140050186,1538058438,true,119,295697470,World Electronic Sports Games 2018-2019,8,10,17,2488,37,2,320,374,6510,16294,110,1234,17,89.0243,1,0,3,1,7,3,3,,0,0.581395,0,0
4140050186,1538058438,true,19,11865327,World Electronic Sports Games 2018-2019,14,1,7,1175,239,12,587,661,21490,32765,5880,136,23,49.1852,1,0,3,1,15,2,2,,0,0.488372,4,0
4140050186,1538058438,true,75,90125566,World Electronic Sports Games 2018-2019,8,4,19,940,39,2,334,448,10600,16586,22,21,18,0,13,16,0,0,4,1,1,true,0,0.627907,0,0
4140148161,1538061805,false,36,337493609,World Electronic Sports Games 2018-2019,5,5,9,778,190,7,400,405,11785,10053,453,1648,18,6.65015,0,0,6,3,6,3,3,,0,0.518519,1,0
4140148161,1538061805,false,84,79809603,World Electronic Sports Games 2018-2019,5,9,13,68,18,1,286,369,10340,10660,0,0,17,26.9136,15,24,0,0,2,1,1,,0,0.666667,0,0
4140148161,1538061805,false,74,480412663,World Electronic Sports Games 2018-2019,2,3,16,305,152,9,363,397,12625,15870,0,354,18,95.6781,1,1,0,0,2,2,2,,1,0.666667,0,0
4140148161,1538061805,false,7,196879301,World Electronic Sports Games 2018-2019,3,7,13,602,84,1,277,326,8710,8049,0,0,16,40.7004,2,1,0,0,7,2,2,true,0,0.592593,0,0
4140148161,1538061805,false,93,346392468,World Electronic Sports Games 2018-2019,12,6,11,2461,249,9,506,519,14450,26484,765,0,21,0,0,1,0,0,3,1,1,,0,0.851852,1,0
4140148161,1538061805,true,75,90125566,World Electronic Sports Games 2018-2019,4,8,21,2099,33,4,286,394,9080,13026,93,0,18,0,15,27,2,1,3,3,1,true,0,0.833333,0,0
4140148161,1538061805,true,42,96196828,World Electronic Sports Games 2018-2019,2,5,16,3221,139,9,352,412,9760,11427,3447,1188,18,42.3891,0,0,7,3,5,1,3,,0,0.6,0,0
4140148161,1538061805,true,46,11865327,World Electronic Sports Games 2018-2019,11,5,7,1874,313,21,617,545,22570,23816,3328,0,22,9.33179,1,1,3,1,10,2,2,,0,0.6,1,1
4140148161,1538061805,true,110,295697470,World Electronic Sports Games 2018-2019,4,6,21,2334,61,0,322,327,8140,15157,142,65,16,2,1,5,3,1,8,1,3,,0,0.833333,1,0
4140148161,1538061805,true,92,113995822,World Electronic Sports Games 2018-2019,8,3,16,1011,212,20,529,572,19580,25017,7692,0,22,17.0224,0,0,5,2,0,3,1,,0,0.8,5,1
4141370001,1538136132,false,75,93552791,World Electronic Sports Games 2018-2019,6,7,12,363,51,4,261,320,10155,9425,0,0,17,0,18,23,0,0,1,3,1,,0,0.68,0,0
4141370001,1538136132,false,33,130801103,World Electronic Sports Games 2018-2019,5,7,8,3679,232,31,478,404,15455,15232,2259,7544,20,42.0908,0,0,3,1,5,1,3,,0,0.52,0,0
4141370001,1538136132,false,23,87586992,World Electronic Sports Games 2018-2019,7,2,9,5624,302,14,534,618,17675,22693,973,0,24,62.0224,0,0,0,0,5,2,2,,0,0.64,2,1
4141370001,1538136132,false,119,112250781,World Electronic Sports Games 2018-2019,5,7,13,2176,43,7,282,350,9410,11428,0,1157,18,88.8615,1,2,0,0,8,3,1,true,0,0.72,0,0
4141370001,1538136132,false,12,89269794,World Electronic Sports Games 2018-2019,1,2,12,1013,403,13,564,573,23010,16592,2252,0,23,5.38501,0,0,0,0,7,3,1,,0,0.52,2,0
4141370001,1538136132,true,30,90125566,World Electronic Sports Games 2018-2019,4,6,14,2800,10,1,293,368,9650,11841,229,2281,19,95.108,10,23,3,1,1,3,3,,0,0.72,1,0
4141370001,1538136132,true,96,96196828,World Electronic Sports Games 2018-2019,2,6,15,3423,164,9,362,447,11510,8859,2071,0,21,51.9456,0,1,7,2,4,1,1,,0,0.68,0,0
4141370001,1538136132,true,52,11865327,World Electronic Sports Games 2018-2019,9,2,6,3521,456,15,734,739,27085,19737,4828,0,25,37.6543,0,0,6,3,15,2,2,,0,0.6,1,0
4141370001,1538136132,true,62,295697470,World Electronic Sports Games 2018-2019,4,9,12,2072,13,0,283,280,11410,5700,0,1072,16,0.228906,10,5,0,0,7,2,2,true,0,0.64,0,0
4141370001,1538136132,true,109,113995822,World Electronic Sports Games 2018-2019,6,2,6,6048,408,17,661,528,23435,22505,7964,0,23,0,0,0,0,0,2,3,3,,0,0.48,5,0
4141494138,1538140457,false,25,130801103,World Electronic Sports Games 2018-2019,5,10,7,1038,201,11,397,417,11765,12696,929,0,19,29.6957,0,1,2,1,5,3,3,,1,0.705882,0,0
